
 "line","enviro","col","gen","data"
20,32,8,"t0",0.17
20,32,9,"t0",0.168
20,32,10,"t0",0.154
20,32,11,"t0",0.14
20,32,12,"t0",0.144
1,0,1,"t10",1.808
1,0,2,"t10",1.744
1,0,3,"t10",1.801
1,0,4,"t10",1.782
1,0,5,"t10",1.755
1,0,6,"t10",1.724
1,0,7,"t10",1.723
1,0,8,"t10",1.807
1,0,9,"t10",1.719
1,0,10,"t10",1.719
1,0,11,"t10",1.76
1,0,12,"t10",1.638
1,1,1,"t10",1.8
1,1,2,"t10",1.742
1,1,3,"t10",1.801
1,1,4,"t10",1.742
1,1,5,"t10",1.738
1,1,6,"t10",1.676
1,1,7,"t10",1.728
1,1,8,"t10",1.772
1,1,9,"t10",1.702
1,1,10,"t10",1.698
1,1,11,"t10",1.783
1,1,12,"t10",1.75
1,8,1,"t10",0.174
1,8,2,"t10",0.156
1,8,3,"t10",0.199
1,8,4,"t10",0.166
1,8,5,"t10",0.17
1,8,6,"t10",0.184
1,8,7,"t10",0.205
1,8,8,"t10",0.178
1,8,9,"t10",0.169
