"line","enviro","col","gen","data"
11,4,11,"t0",0.351
11,4,12,"t0",0.449
11,1,1,"t0",0.575
11,1,2,"t0",0.627
11,1,3,"t0",0.565
11,1,4,"t0",0.576
11,1,5,"t0",0.53
11,1,6,"t0",0.548
11,1,7,"t0",0.496
11,1,8,"t0",0.483
11,1,9,"t0",0.512
11,1,10,"t0",0.497
11,1,11,"t0",0.465
11,1,12,"t0",0.527
12,0,1,"t0",1.67
12,0,2,"t0",1.629
12,0,3,"t0",1.648
12,0,4,"t0",1.651
12,0,5,"t0",1.631
12,0,6,"t0",1.64
12,0,7,"t0",1.649
12,0,8,"t0",1.652
12,0,9,"t0",1.631
12,0,10,"t0",1.624
12,0,11,"t0",1.662
12,0,12,"t0",1.61
12,1,1,"t0",1.653
12,1,2,"t0",1.694
12,1,3,"t0",1.702
12,1,4,"t0",1.731
12,1,5,"t0",1.711
12,1,6,"t0",1.713
12,1,7,"t0",1.715
12,1,8,"t0",1.731
12,1,9,"t0",1.696
12,1,10,"t0",1.699
12,1,11,"t0",1.696
12,1,12,"t0",1.671
12,4,1,"t0",1.643
12,4,2,"t0",1.656
12,4,3,"t0",1.709
12,4,4,"t0",1.699
12,4,5,"t0",1.688
12,4,6,"t0",1.695
12,4,7,"t0",1.698
12,4,8,"t0",1.715
12,4,9,"t0",1.681
12,4,10,"t0",1.677
12,4,11,"t0",1.69
12,4,12,"t0",1.651
12,1,1,"t0",1.603
12,1,2,"t0",1.646
12,1,3,"t0",1.685
12,1,4,"t0",1.682
12,1,5,"t0",1.661
12,1,6,"t0",1.677
12,1,7,"t0",1.685
12,1,8,"t0",1.71
12,1,9,"t0",1.686
12,1,10,"t0",1.649
12,1,11,"t0",1.697
12,1,12,"t0",1.661
13,0,1,"t0",1.829
13,0,2,"t0",1.707
13,0,3,"t0",1.811
13,0,4,"t0",1.717
13,0,5,"t0",1.797
13,0,6,"t0",1.77
13,0,7,"t0",1.746
13,0,8,"t0",1.789
13,0,9,"t0",1.718
13,0,10,"t0",1.816
13,0,11,"t0",1.781
13,0,12,"t0",1.955
13,1,1,"t0",1.103
13,1,2,"t0",0.962
13,1,3,"t0",1.051
13,1,4,"t0",0.725
13,1,5,"t0",0.79
13,1,6,"t0",1.067
13,1,7,"t0",0.947
13,1,8,"t0",0.907
13,1,9,"t0",0.791
13,1,10,"t0",0.922
13,1,11,"t0",0.958
13,1,12,"t0",1.163
13,4,1,"t0",0.874
13,4,2,"t0",0.817
13,4,3,"t0",0.763
13,4,4,"t0",0.372
13,4,5,"t0",0.498
13,4,6,"t0",0.703
13,4,7,"t0",0.626
13,4,8,"t0",0.56
13,4,9,"t0",0.508
13,4,10,"t0",0.554
13,4,11,"t0",0.617
13,4,12,"t0",1.186
13,1,1,"t0",1.16
13,1,2,"t0",1.093
13,1,3,"t0",1.186
13,1,4,"t0",0.905
13,1,5,"t0",1.152
13,1,6,"t0",1.493
13,1,7,"t0",0.995
13,1,8,"t0",0.989
13,1,9,"t0",0.815
13,1,10,"t0",1.042
13,1,11,"t0",1.056
13,1,12,"t0",1.294
14,0,1,"t0",1.735
14,0,2,"t0",1.717
14,0,3,"t0",1.658
14,0,4,"t0",1.742
14,0,5,"t0",1.706
14,0,6,"t0",1.722
14,0,7,"t0",1.727
14,0,8,"t0",1.732
14,0,9,"t0",1.705
14,0,10,"t0",1.71
14,0,11,"t0",1.722
14,0,12,"t0",1.713
14,1,1,"t0",0.991
14,1,2,"t0",0.965
14,1,3,"t0",1.049
14,1,4,"t0",0.944
14,1,5,"t0",0.907
14,1,6,"t0",0.941
14,1,7,"t0",0.876
14,1,8,"t0",0.805
14,1,9,"t0",0.857
14,1,10,"t0",0.737
14,1,11,"t0",0.72
14,1,12,"t0",0.699
14,4,1,"t0",0.636
14,4,2,"t0",0.619
14,4,3,"t0",0.628
14,4,4,"t0",0.694
14,4,5,"t0",0.54
14,4,6,"t0",0.585
14,4,7,"t0",0.48
14,4,8,"t0",0.424
14,4,9,"t0",0.41
