"line","enviro","rep","gen","data","time"
"11",512,10,"t0d",0.973,24
"11",512,11,"t0d",1.23,24
"11",512,12,"t0d",0.596,24
"12",0,1,"t0d",1.395,24
"12",0,2,"t0d",1.3095,24
"12",0,3,"t0d",1.371,24
"12",0,4,"t0d",1.1375,24
"12",0,5,"t0d",1.2545,24
"12",0,6,"t0d",1.025,24
"12",0,7,"t0d",1.258,24
"12",0,8,"t0d",1.3985,24
"12",0,9,"t0d",1.0565,24
"12",0,10,"t0d",1.331,24
"12",0,11,"t0d",1.421,24
"12",0,12,"t0d",1.3515,24
"12",1,1,"t0d",1.422,24
"12",1,2,"t0d",1.348,24
"12",1,3,"t0d",1.4255,24
"12",1,4,"t0d",1.1885,24
"12",1,5,"t0d",1.3285,24
"12",1,6,"t0d",0.947,24
"12",1,7,"t0d",1.2435,24
"12",1,8,"t0d",1.416,24
"12",1,9,"t0d",1.004,24
"12",1,10,"t0d",1.355,24
"12",1,11,"t0d",1.4235,24
"12",1,12,"t0d",1.3895,24
"12",128,1,"t0d",0.239,24
"12",128,2,"t0d",0.2815,24
"12",128,3,"t0d",0.312,24
"12",128,4,"t0d",0.278,24
"12",128,5,"t0d",0.3435,24
"12",128,6,"t0d",0.233,24
"12",128,7,"t0d",0.3265,24
"12",128,8,"t0d",0.367,24
"12",128,9,"t0d",0.264,24
"12",128,10,"t0d",0.3245,24
"12",128,11,"t0d",0.2675,24
"12",128,12,"t0d",0.224,24
"12",512,1,"t0d",1.355,24
"12",512,2,"t0d",1.298,24
"12",512,3,"t0d",1.3415,24
"12",512,4,"t0d",1.048,24
"12",512,5,"t0d",1.0855,24
"12",512,6,"t0d",0.6905,24
"12",512,7,"t0d",1.0485,24
"12",512,8,"t0d",1.3155,24
"12",512,9,"t0d",0.8895,24
"12",512,10,"t0d",1.286,24
"12",512,11,"t0d",1.4025,24
"12",512,12,"t0d",1.257,24
"13",0,1,"t0d",1.6875,24
"13",0,2,"t0d",1.656,24
"13",0,3,"t0d",1.6385,24
"13",0,4,"t0d",1.659,24
"13",0,5,"t0d",1.6565,24
"13",0,6,"t0d",1.6115,24
"13",0,7,"t0d",1.611,24
"13",0,8,"t0d",1.5985,24
"13",0,9,"t0d",1.6365,24
"13",0,10,"t0d",1.6305,24
"13",0,11,"t0d",1.6375,24
"13",0,12,"t0d",1.602,24
"13",1,1,"t0d",0.095,24
"13",1,2,"t0d",0.0795,24
"13",1,3,"t0d",0.377,24
"13",1,4,"t0d",0.065,24
"13",1,5,"t0d",0.0545,24
"13",1,6,"t0d",0.015,24
"13",1,7,"t0d",0.0225,24
"13",1,8,"t0d",0.00800000000000001,24
"13",1,9,"t0d",0.0365,24
"13",1,10,"t0d",0.0635,24
"13",1,11,"t0d",0.0235,24
"13",1,12,"t0d",0.0345,24
"13",128,1,"t0d",0.068,24
"13",128,2,"t0d",0.0655,24
"13",128,3,"t0d",0.2265,24
"13",128,4,"t0d",0.059,24
"13",128,5,"t0d",0.048,24
"13",128,6,"t0d",0.0245,24
"13",128,7,"t0d",0.0405,24
"13",128,8,"t0d",0.0165,24
"13",128,9,"t0d",0.046,24
"13",128,10,"t0d",0.0695,24
"13",128,11,"t0d",0.032,24
"13",128,12,"t0d",0.0355,24
"13",512,1,"t0d",0.258,24
"13",512,2,"t0d",0.8055,24
"13",512,3,"t0d",0.8705,24
"13",512,4,"t0d",0.7915,24
"13",512,5,"t0d",0.763,24
"13",512,6,"t0d",0.7525,24
"13",512,7,"t0d",0.121,24
"13",512,8,"t0d",0.0125,24
"13",512,9,"t0d",0.1895,24
"13",512,10,"t0d",0.666,24
"13",512,11,"t0d",0.1695,24
"13",512,12,"t0d",0.029,24
"14",0,1,"t0d",1.3635,24
"14",0,2,"t0d",1.387,24
"14",0,3,"t0d",1.4005,24
"14",0,4,"t0d",1.451,24
"14",0,5,"t0d",1.4425,24
"14",0,6,"t0d",1.3835,24
"14",0,7,"t0d",1.4295,24
"14",0,8,"t0d",1.4635,24
"14",0,9,"t0d",1.445,24
"14",0,10,"t0d",1.4805,24
"14",0,11,"t0d",1.5205,24
"14",0,12,"t0d",1.467,24
"14",1,1,"t0d",0.127,24
"14",1,2,"t0d",0.2755,24
"14",1,3,"t0d",0.3255,24
"14",1,4,"t0d",0.494,24
"14",1,5,"t0d",0.507,24
"14",1,6,"t0d",0.3165,24
"14",1,7,"t0d",0.466,24
"14",1,8,"t0d",0.58,24
"14",1,9,"t0d",0.543,24
"14",1,10,"t0d",0.8075,24
"14",1,11,"t0d",0.7295,24
"14",1,12,"t0d",0.4855,24
"14",128,1,"t0d",0.121,24
"14",128,2,"t0d",0.2495,24
"14",128,3,"t0d",0.329,24
"14",128,4,"t0d",0.468,24
"14",128,5,"t0d",0.473,24
"14",128,6,"t0d",0.3265,24
"14",128,7,"t0d",0.429,24
"14",128,8,"t0d",0.55,24
"14",128,9,"t0d",0.4635,24
"14",128,10,"t0d",0.6885,24
"14",128,11,"t0d",0.6495,24
"14",128,12,"t0d",0.3725,24
"14",512,1,"t0d",0.674,24
"14",512,2,"t0d",0.788,24
"14",512,3,"t0d",0.8455,24
"14",512,4,"t0d",1.0535,24
"14",512,5,"t0d",0.9885,24
"14",512,6,"t0d",0.8585,24
"14",512,7,"t0d",0.913,24
"14",512,8,"t0d",1.051,24
"14",512,9,"t0d",1.004,24
"14",512,10,"t0d",1.112,24
"14",512,11,"t0d",1.18,24
"14",512,12,"t0d",0.9645,24
"15",0,1,"t0d",1.502,24
"15",0,2,"t0d",1.4885,24
"15",0,3,"t0d",1.475,24
"15",0,4,"t0d",1.4945,24
"15",0,5,"t0d",1.488,24
"15",0,6,"t0d",1.4685,24
"15",0,7,"t0d",1.4645,24
"15",0,8,"t0d",1.489,24
"15",0,9,"t0d",1.4795,24
"15",0,10,"t0d",1.4805,24
"15",0,11,"t0d",1.5025,24
"15",0,12,"t0d",1.475,24
"15",1,1,"t0d",0.018,24
"15",1,2,"t0d",0.0195,24
"15",1,3,"t0d",0.0295,24
"15",1,4,"t0d",0.016,24
"15",1,5,"t0d",0.0215,24
"15",1,6,"t0d",0.0335,24
"15",1,7,"t0d",0.024,24
"15",1,8,"t0d",0.07,24
"15",1,9,"t0d",0.027,24
"15",1,10,"t0d",0.088,24
"15",1,11,"t0d",0.0945,24
"15",1,12,"t0d",0.059,24
"15",128,1,"t0d",0.0265,24
"15",128,2,"t0d",0.034,24
"15",128,3,"t0d",0.034,24
"15",128,4,"t0d",0.0145,24
"15",128,5,"t0d",0.021,24
"15",128,6,"t0d",0.03,24
"15",128,7,"t0d",0.0515,24
"15",128,8,"t0d",0.073,24
"15",128,9,"t0d",0.0515,24
"15",128,10,"t0d",0.1035,24
"15",128,11,"t0d",0.087,24
"15",128,12,"t0d",0.041,24
"15",512,1,"t0d",0.021,24
"15",512,2,"t0d",0.0245,24
"15",512,3,"t0d",0.022,24
"15",512,4,"t0d",0.0195,24
"15",512,5,"t0d",0.0195,24
"15",512,6,"t0d",0.0235,24
"15",512,7,"t0d",0.027,24
"15",512,8,"t0d",0.038,24
"15",512,9,"t0d",0.0335,24
"15",512,10,"t0d",0.0495,24
"15",512,11,"t0d",0.0535,24
"15",512,12,"t0d",0.0385,24
"16",0,1,"t0d",1.5105,24
"16",0,2,"t0d",1.444,24
