line,gen,enviro,Time,OD.24,OD.48,OD.72
A12,MA4_t0,128,24,2.301,2.187,
A12,MA4_t0,128,24,0.277,0.387,
A12,MA4_t0,128,24,0.609,1.634,
A12,MA4_t0,128,24,0.268,0.383,
A12,MA4_t0,128,24,0.833,1.22,
A13,MA4_t0,128,24,0.103,0.308,
A13,MA4_t0,128,24,0.798,1.457,
A13,MA4_t0,128,24,0.264,0.439,
A13,MA4_t0,128,24,0.183,0.385,
A13,MA4_t0,128,24,0.133,0.396,
A13,MA4_t0,128,24,0.154,0.457,
A13,MA4_t0,128,24,0.198,0.391,
A13,MA4_t0,128,24,2.276,2.204,
A13,MA4_t0,128,24,0.121,0.307,
A13,MA4_t0,128,24,0.121,0.31,
A13,MA4_t0,128,24,0.092,0.27,
A13,MA4_t0,128,24,0.794,1.268,
A14,MA4_t0,128,24,0.41,0.566,
A14,MA4_t0,128,24,0.538,0.797,
A14,MA4_t0,128,24,0.579,0.89,
A14,MA4_t0,128,24,0.529,0.775,
A14,MA4_t0,128,24,0.608,0.787,
A14,MA4_t0,128,24,0.657,0.865,
A14,MA4_t0,128,24,0.55,0.715,
A14,MA4_t0,128,24,0.503,0.76,
A14,MA4_t0,128,24,0.467,0.648,
A14,MA4_t0,128,24,0.54,0.775,
A14,MA4_t0,128,24,0.471,0.734,
A14,MA4_t0,128,24,0.456,0.735,
A15,MA4_t0,128,24,0.423,0.548,
A15,MA4_t0,128,24,0.655,0.843,
A15,MA4_t0,128,24,0.519,0.762,
A15,MA4_t0,128,24,0.494,0.701,
A15,MA4_t0,128,24,0.354,0.396,
A15,MA4_t0,128,24,0.436,0.661,
A15,MA4_t0,128,24,0.506,0.734,
A15,MA4_t0,128,24,0.51,0.764,
A15,MA4_t0,128,24,0.464,0.741,
A15,MA4_t0,128,24,0.392,0.483,
A15,MA4_t0,128,24,0.428,0.621,
A15,MA4_t0,128,24,1.225,1.56,
A16,MA4_t0,128,24,0.359,0.58,
A16,MA4_t0,128,24,0.284,0.504,
A16,MA4_t0,128,24,0.424,0.547,
A16,MA4_t0,128,24,0.372,0.534,
A16,MA4_t0,128,24,0.284,0.379,
A16,MA4_t0,128,24,0.42,0.519,
A16,MA4_t0,128,24,0.322,0.49,
A16,MA4_t0,128,24,0.409,0.578,
A16,MA4_t0,128,24,0.368,0.595,
A16,MA4_t0,128,24,0.321,0.435,
A16,MA4_t0,128,24,0.326,0.447,
A16,MA4_t0,128,24,0.469,0.53,
A17,MA4_t0,1,24,1.483,2.027,
A17,MA4_t0,1,24,0.26,1.991,
A17,MA4_t0,1,24,0.428,1.942,
A17,MA4_t0,1,24,0.151,0.239,
A17,MA4_t0,1,24,0.269,0.424,
A17,MA4_t0,1,24,0.317,1.734,
A17,MA4_t0,1,24,0.258,1.422,
A17,MA4_t0,1,24,0.291,1.073,
A17,MA4_t0,1,24,0.337,0.566,
A17,MA4_t0,1,24,0.305,0.538,
A17,MA4_t0,1,24,0.277,0.525,
A17,MA4_t0,1,24,0.278,0.419,
A18,MA4_t0,1,24,2.04,2.056,
A18,MA4_t0,1,24,2.061,2.073,
A18,MA4_t0,1,24,2.042,2.074,
A18,MA4_t0,1,24,2.033,2.075,
A18,MA4_t0,1,24,2.06,2.071,
A18,MA4_t0,1,24,2.037,2.07,
A18,MA4_t0,1,24,2.037,2.076,
A18,MA4_t0,1,24,2.038,2.073,
A18,MA4_t0,1,24,2.049,2.064,
A18,MA4_t0,1,24,2.046,2.076,
A18,MA4_t0,1,24,2.061,2.074,
A18,MA4_t0,1,24,2.064,2.071,
A19,MA4_t0,1,24,1.702,1.99,
A19,MA4_t0,1,24,1.666,1.839,
