"name","MIC24","MIC48","MIC72","MIC24.10","MIC48.10","MIC72.10","SMG24","SMG48","SMG72","SMG24.10","SMG48.10","SMG72.10","SMG24.2","SMG48.2","SMG72.2","SMG24.10.2","SMG48.10.2","SMG72.10.2","line","rep","change24","change48","change72"
"9_4",0.000125,0.000125,0.000125,1,1,1,0.125333333333333,0.2685,0.353083333333333,0.1192,0.2275,0.27215,0.0850726851066237,0.155247181266262,0.204715659274291,0.101102629346904,0.137441474097568,0.156318207926479,"9","4",0.999875,0.999875,0.999875
"9_5",0.000125,0.000125,1,0.000125,1,1,0.164458333333333,0.313375,0.415875,0.202875,0.51,0.706208333333333,0.113693973960134,0.181903932665796,0.241858098284385,0.167044051049815,0.305801229201019,0.420737761890577,"9","5",0,0.999875,0
"9_6",0.000125,0.000125,0.000125,0.000125,0.000125,1,0.143083333333333,0.301958333333333,0.406791666666667,0.127375,0.234291666666667,0.409875,0.0997791724779173,0.176764720230255,0.237924647853,0.106567663668689,0.138777827138556,0.235323668723984,"9","6",0,0,0.999875
"9_7",0.000125,0.000125,0.000125,0.000125,0.000125,1,0.149416666666667,0.301625,0.382916666666667,0.078375,0.314208333333333,0.58575,0.10383368079685,0.176698886936145,0.224749327463928,0.077733696999752,0.191941559763796,0.348556977090152,"9","7",0,0,0.999875
"9_8",0.000125,0.000125,0.000125,1,1,1,0.167541666666667,0.326458333333333,0.422,0.05145,0.0866,0.1172,0.115925733725422,0.189691071082704,0.244850594720046,0.0380406654343808,0.0504147867850386,0.0678044547295343,"9","8",0.999875,0.999875,0.999875
"9_9",0.000125,0.000125,0.000125,0.000125,0.000125,1,0.137541666666667,0.29,0.393041666666667,0.15225,0.269708333333333,0.421125,0.0956478905887807,0.168604651162791,0.230050726758365,0.122930964876867,0.159472776545947,0.241817398794143,"9","9",0,0,0.999875
"9_10",0.000125,0.000125,0.000125,0.000125,1,1,0.123791666666667,0.267458333333333,0.354833333333333,0.198625,0.415875,0.606166666666667,0.085461972155103,0.157051282051282,0.208848342162056,0.18485342019544,0.267271850899743,0.384136037177862,"9","10",0,0.999875,0.999875
"9_11",0.000125,0.000125,0.000125,1,0.000125,1,0.107416666666667,0.244583333333333,0.337958333333333,0.04595,0.08505,0.1503,0.0744398244398244,0.141357221981409,0.195182404466262,0.186409736308316,0.0687689508793208,0.0957782380117891,"9","11",0.999875,0,0.999875
"9_12",0.000125,0.000125,0.000125,1,1,4,0.102625,0.234,0.316375,0.05375,0.1873,0.4191,0.0712673611111111,0.13895486935867,0.186349580326903,0.204372623574144,0.152090946000812,0.266264294790343,"9","12",0.999875,0.999875,3.999875
"10_1",1,512,512,1,1,512,0.12885,1.1557,1.36865,0.1133,1.1361,1.409,0.0875934738273283,0.697886473429952,0.827353785703491,0.0805545680767863,0.686465256797583,0.84295542925516,"10","1",0,-511,0
"10_2",1,512,512,1,512,512,0.13765,1.16755,1.38565,0.12305,1.19315,1.42625,0.0955073720728534,0.710296577946768,0.840807038834951,0.0870842179759377,0.721263412422548,0.862433862433862,"10","2",0,0,0
"10_3",1,512,512,1,1,1,0.15155,1.1683,1.38945,0.0358,0.09465,0.27345,0.104897041010555,0.707203389830508,0.838786598249321,0.0542013626040878,0.0608095085126887,0.163914281432639,"10","3",0,-511,-511
"10_4",1,512,512,1,512,512,0.1255,1.13395,1.3866,0.1073,1.16455,1.4044,0.0860620606891822,0.680744409425184,0.831294964028777,0.0758571933545422,0.695149977615281,0.83707346148115,"10","4",0,0,0
