"line","rep","enviro","data","exper"
16,2,0,1.848,"4"
16,2,1,1.789,"4"
16,2,8,1.018,"4"
16,2,32,0.98,"4"
16,3,0,1.909,"4"
16,3,1,1.79,"4"
16,3,8,0.816,"4"
16,3,32,1.042,"4"
16,4,0,1.868,"4"
16,4,1,1.806,"4"
16,4,8,0.921,"4"
16,4,32,0.943,"4"
16,5,0,1.863,"4"
16,5,1,1.704,"4"
16,5,8,0.857,"4"
16,5,32,0.914,"4"
16,6,0,1.856,"4"
16,6,1,1.768,"4"
16,6,8,0.795,"4"
16,6,32,1.062,"4"
16,7,0,1.846,"4"
16,7,1,1.678,"4"
16,7,8,0.984,"4"
16,7,32,0.872,"4"
16,8,0,1.851,"4"
16,8,1,1.732,"4"
16,8,8,0.978,"4"
16,8,32,0.993,"4"
16,9,0,1.827,"4"
16,9,1,1.466,"4"
16,9,8,1.059,"4"
16,9,32,1.018,"4"
16,10,0,1.798,"4"
16,10,1,1.487,"4"
16,10,8,1.052,"4"
16,10,32,1.125,"4"
16,11,0,1.856,"4"
16,11,1,1.624,"4"
16,11,8,1.069,"4"
16,11,32,0.941,"4"
16,12,0,1.801,"4"
16,12,1,1.659,"4"
16,12,8,0.762,"4"
16,12,32,0.96,"4"
17,1,0,1.891,"4"
17,1,1,0.526,"4"
17,1,8,0.261,"4"
17,1,32,0.291,"4"
17,2,0,1.874,"4"
17,2,1,0.344,"4"
17,2,8,0.367,"4"
17,2,32,0.443,"4"
17,3,0,1.867,"4"
17,3,1,0.371,"4"
17,3,8,0.312,"4"
17,3,32,0.398,"4"
17,4,0,1.878,"4"
17,4,1,0.511,"4"
17,4,8,0.201,"4"
17,4,32,0.394,"4"
17,5,0,1.872,"4"
17,5,1,0.374,"4"
17,5,8,0.317,"4"
17,5,32,0.26,"4"
17,6,0,1.858,"4"
17,6,1,0.474,"4"
17,6,8,0.317,"4"
17,6,32,0.289,"4"
17,7,0,1.853,"4"
17,7,1,0.927,"4"
17,7,8,0.457,"4"
17,7,32,0.231,"4"
17,8,0,1.854,"4"
17,8,1,0.412,"4"
17,8,8,0.3,"4"
17,8,32,0.294,"4"
17,9,0,1.841,"4"
17,9,1,0.617,"4"
17,9,8,0.356,"4"
17,9,32,0.248,"4"
17,10,0,1.822,"4"
17,10,1,0.581,"4"
17,10,8,0.245,"4"
17,10,32,0.279,"4"
17,11,0,1.832,"4"
17,11,1,0.561,"4"
17,11,8,0.252,"4"
17,11,32,0.276,"4"
17,12,0,1.828,"4"
17,12,1,0.525,"4"
17,12,8,0.418,"4"
17,12,32,0.326,"4"
18,1,0,1.893,"4"
18,1,1,1.865,"4"
18,1,8,0.936,"4"
18,1,32,1.03,"4"
18,2,0,1.882,"4"
18,2,1,1.858,"4"
18,2,8,0.886,"4"
18,2,32,0.825,"4"
18,3,0,1.869,"4"
18,3,1,1.856,"4"
18,3,8,0.922,"4"
18,3,32,0.803,"4"
18,4,0,1.869,"4"
18,4,1,1.855,"4"
18,4,8,0.677,"4"
18,4,32,0.79,"4"
18,5,0,1.852,"4"
18,5,1,1.838,"4"
18,5,8,1.415,"4"
18,5,32,0.673,"4"
18,6,0,1.871,"4"
18,6,1,1.853,"4"
18,6,8,0.751,"4"
18,6,32,0.663,"4"
18,7,0,1.855,"4"
18,7,1,1.832,"4"
18,7,8,1.564,"4"
18,7,32,0.75,"4"
18,8,0,1.871,"4"
18,8,1,1.867,"4"
18,8,8,0.689,"4"
18,8,32,0.917,"4"
18,9,0,1.85,"4"
18,9,1,1.842,"4"
18,9,8,1.406,"4"
18,9,32,0.81,"4"
18,10,0,1.83,"4"
18,10,1,1.822,"4"
18,10,8,1.684,"4"
18,10,32,0.873,"4"
18,11,0,1.862,"4"
18,11,1,1.837,"4"
18,11,8,1.546,"4"
18,11,32,0.839,"4"
18,12,0,1.829,"4"
