"line","rep","enviro","dataM","exper"
16,10,32,0.146,"4"
16,11,0,1.271,"4"
16,11,1,1.369,"4"
16,11,8,0.146,"4"
16,11,32,0.142,"4"
16,12,0,1.496,"4"
16,12,1,1.584,"4"
16,12,8,0.143,"4"
16,12,32,0.157,"4"
17,1,0,1.553,"4"
17,1,1,1.159,"4"
17,1,8,0.178,"4"
17,1,32,0.168,"4"
17,2,0,1.759,"4"
17,2,1,1.526,"4"
17,2,8,1.385,"4"
17,2,32,1.358,"4"
17,3,0,1.577,"4"
17,3,1,1.462,"4"
17,3,8,0.145,"4"
17,3,32,0.134,"4"
17,4,0,0.237,"4"
17,4,1,0.238,"4"
17,4,8,0.144,"4"
17,4,32,0.134,"4"
17,5,0,1.558,"4"
17,5,1,1.427,"4"
17,5,8,0.135,"4"
17,5,32,0.132,"4"
17,6,0,0.635,"4"
17,6,1,0.549,"4"
17,6,8,0.14,"4"
17,6,32,0.134,"4"
17,7,0,0.839,"4"
17,7,1,0.495,"4"
17,7,8,0.141,"4"
17,7,32,0.134,"4"
17,8,0,0.659,"4"
17,8,1,0.355,"4"
17,8,8,0.138,"4"
17,8,32,0.136,"4"
17,9,0,0.547,"4"
17,9,1,0.442,"4"
17,9,8,0.144,"4"
17,9,32,0.136,"4"
17,10,0,0.411,"4"
17,10,1,0.28,"4"
17,10,8,0.153,"4"
17,10,32,0.143,"4"
17,11,0,0.69,"4"
17,11,1,0.447,"4"
17,11,8,0.133,"4"
17,11,32,0.134,"4"
17,12,0,0.742,"4"
17,12,1,0.803,"4"
17,12,8,0.135,"4"
17,12,32,0.137,"4"
18,1,0,1.832,"4"
18,1,1,1.817,"4"
18,1,8,0.303,"4"
18,1,32,0.264,"4"
18,2,0,1.775,"4"
18,2,1,1.774,"4"
18,2,8,0.225,"4"
18,2,32,0.254,"4"
18,3,0,1.785,"4"
18,3,1,1.776,"4"
18,3,8,0.352,"4"
18,3,32,0.263,"4"
18,4,0,1.762,"4"
18,4,1,1.744,"4"
18,4,8,0.474,"4"
18,4,32,0.276,"4"
18,5,0,1.747,"4"
18,5,1,1.756,"4"
18,5,8,0.352,"4"
